athlete.sex,average_speed,distance,type
M,7.832000000000001,47318.1,Ride
M,6.585,27716.5,Ride
F,6.5489999999999995,12973.3,Ride
M,8.23,36920.6,Ride
F,3.377,4835.4,Run
F,2.55,5059.9,Run
M,5.718999999999999,14653.1,Ride
M,6.433,24414.6,Ride
F,3.2110000000000003,14501.4,Ride
M,5.092,55842.3,Ride
F,6.797999999999999,30468.6,Ride
F,2.766,9970.8,Run
M,3.4130000000000003,2231.8,Run
F,2.9330000000000003,15574.1,Run
F,2.441,5589.1,Run
F,1.5319999999999998,5268.7,Run
M,7.6610000000000005,53453.6,Ride
M,6.808,55925.5,Ride
M,7.7829999999999995,33575.2,Ride
M,0.0,0.0,Run
F,3.1180000000000003,9955.7,Run
F,5.695,5068.4,Ride
M,6.205,23021.4,Ride
F,3.513,14534.0,Ride
F,2.12,3722.4,Run
F,1.229,3707.0,Walk
M,7.581,31597.6,Ride
F,4.209,25463.4,Ride
F,1.847,6364.0,Run
F,6.484,88664.5,Ride
M,3.364,27018.4,Ride
F,2.065,514.1,Run
M,0.805,3036.4,Swim
F,4.695,4563.1,Ride
F,4.0280000000000005,27484.0,Ride
F,2.206,5190.1,Run
F,5.7410000000000005,8743.7,Ride
F,4.342,24325.2,Ride
F,4.63,20701.2,Ride
M,7.37,55523.7,Ride
M,0.295,5223.4,Ride
M,6.166,9871.5,Ride
F,1.367,2204.1,Run
F,0.725,1300.0,Swim
F,4.893,39854.3,Ride
F,3.245,3712.7,Ride
F,5.4639999999999995,36414.9,Ride
M,4.619,8045.6,Ride
F,6.011,13405.3,Ride
M,1.821,10630.4,Run
M,6.9110000000000005,34312.9,Ride
F,2.7030000000000003,1565.2,Run
M,3.237,12791.1,Run
F,3.325,5599.3,Run
M,3.451,10194.5,Run
M,6.917999999999999,61028.7,Ride
F,2.565,10666.1,Run
F,1.141,1968.9,Walk
F,2.7760000000000002,8772.0,Run
F,8.32,23954.6,Ride
F,3.678,9687.7,Run
F,3.813,23475.8,Ride
M,3.721,6051.0,Ride
M,4.7,27667.4,Ride
F,2.799,7196.5,Run
M,0.968,3700.0,Swim
F,2.123,2887.0,Run
M,6.528,80390.7,Ride
F,2.938,2896.8,Run
M,3.338,22129.3,Ride
F,5.872999999999999,113875.0,Ride
M,7.15,52333.1,Ride
M,8.333,30000.0,Ride
M,4.864,11561.8,Ride
M,6.59,24370.1,Ride
M,7.785,119248.0,Ride
F,2.552,6836.9,Run
M,6.8839999999999995,24479.6,Ride
M,5.269,6417.7,Ride
M,8.805,41841.1,Ride
F,2.3209999999999997,10282.5,Run
F,9.454,46174.6,Ride
F,0.0,0.0,Run
F,6.517,65401.7,Ride
M,7.015,37592.1,Ride
M,6.7,30242.8,Ride
M,6.482,28013.8,Ride
F,6.82,24341.5,Ride
F,2.75,6027.6,Run
M,5.745,37599.9,Ride
M,5.707000000000001,473.7,Ride
M,7.41,32700.0,Ride
M,9.88,47560.1,VirtualRide
F,1.507,14445.0,Ride
M,7.059,16093.9,Ride
M,6.166,9877.9,Ride
M,6.102,10807.5,Ride
M,0.0,0.0,Workout
F,4.811,991.0,Ride
M,3.133,1610.4,Ride
M,7.011,26290.4,Ride
F,1.973,12870.5,Walk
F,0.833,2000.0,Swim
F,2.548,4944.0,Run
F,1.774,8761.6,Run
F,6.059,88483.3,Ride
F,3.7969999999999997,12056.7,Run
F,6.166,7005.0,Ride
M,3.05,3229.9,Run
